Time (ns),Distance (Å)
0.000,4.182
0.010,4.177
0.020,4.529
0.030,4.177
0.040,4.270
0.050,4.060
0.060,4.738
0.070,4.772
0.080,4.112
0.090,4.220
0.100,4.053
0.110,4.107
0.120,4.083
0.130,3.687
0.140,4.102
0.150,3.939
0.160,4.167
0.170,4.273
0.180,4.291
0.190,4.354
0.200,4.790
0.210,4.165
0.220,4.683
0.230,4.211
0.240,4.290
0.250,4.196
0.260,3.921
0.270,4.264
0.280,3.957
0.290,3.815
0.300,3.874
0.310,4.415
0.320,4.400
0.330,4.131
0.340,3.835
0.350,3.759
0.360,4.171
0.370,3.989
0.380,4.109
0.390,4.241
0.400,3.956
0.410,3.819
0.420,4.104
0.430,4.661
0.440,3.993
0.450,3.983
0.460,4.153
0.470,4.096
0.480,4.119
0.490,3.767
0.500,4.170
0.510,3.972
0.520,3.596
0.530,4.408
0.540,4.344
0.550,4.030
0.560,4.053
0.570,4.306
0.580,4.379
0.590,4.100
0.600,4.229
0.610,4.087
0.620,4.417
0.630,4.596
0.640,4.085
0.650,3.852
0.660,3.893
0.670,4.067
0.680,4.476
0.690,4.161
0.700,4.379
0.710,4.023
0.720,4.197
0.730,4.064
0.740,4.315
0.750,4.130
0.760,4.216
0.770,4.399
0.780,4.177
0.790,3.820
0.800,4.231
0.810,3.673
0.820,3.754
0.830,4.332
0.840,4.120
0.850,4.099
0.860,3.998
0.870,4.424
0.880,3.963
0.890,4.493
0.900,4.404
0.910,4.306
0.920,4.193
0.930,4.003
0.940,4.006
0.950,4.177
0.960,4.070
0.970,4.290
0.980,4.308
0.990,4.548
1.000,4.238
1.010,4.340
1.020,4.117
1.030,4.205
1.040,4.432
1.050,4.532
1.060,4.572
1.070,4.274
1.080,3.965
1.090,4.489
1.100,4.373
1.110,4.385
1.120,3.993
1.130,4.412
1.140,4.595
1.150,4.816
1.160,4.752
1.170,4.480
1.180,4.276
1.190,4.378
1.200,4.300
1.210,4.416
1.220,4.224
1.230,4.130
1.240,4.577
1.250,4.302
1.260,4.427
1.270,4.438
1.280,4.267
1.290,4.361
1.300,4.337
1.310,4.537
1.320,4.475
1.330,4.218
1.340,4.336
1.350,4.343
1.360,4.434
1.370,4.338
1.380,3.863
1.390,4.489
1.400,4.762
1.410,4.463
1.420,4.538
1.430,4.158
1.440,4.123
1.450,4.129
1.460,4.519
1.470,4.545
1.480,3.896
1.490,4.333
1.500,4.044
1.510,3.909
1.520,4.144
1.530,4.325
1.540,4.255
1.550,4.690
1.560,4.456
1.570,4.431
1.580,4.505
1.590,4.091
1.600,4.290
1.610,4.040
1.620,4.040
1.630,4.202
1.640,3.867
1.650,4.312
1.660,4.663
1.670,4.343
1.680,4.018
1.690,4.158
1.700,4.427
1.710,4.438
1.720,4.610
1.730,4.110
1.740,4.286
1.750,4.102
1.760,4.336
1.770,4.548
1.780,4.381
1.790,4.160
1.800,4.437
1.810,4.133
1.820,4.721
1.830,4.134
1.840,4.653
1.850,4.032
1.860,4.521
1.870,4.471
1.880,4.234
1.890,4.372
1.900,4.524
1.910,4.063
1.920,4.001
1.930,3.986
1.940,3.764
1.950,4.275
1.960,4.712
1.970,4.726
1.980,4.138
1.990,4.377
2.000,3.899
2.010,4.119
